"000319";"MDO PLANTIO MANUAL";"val";09/02/23;"151713";"";"";?;?;no;no;0;0;0;0;no;1
"000320";"OPERACIONAL - RB";"camila";07/03/18;"121356";"";"";?;?;no;no;0;0;0;0;no;1
"000321";"SERVIÇOS GERAIS";"camila";27/03/18;"125237";"";"";?;?;no;no;0;0;0;0;no;1
"000322";"PLANTIO";"msantos";23/04/19;"091001";"";"";?;?;no;no;0;0;0;0;no;1
"000323";"CONTROLE DE QUALIDADE";"gmoreno";31/03/21;"082945";"";"";?;?;no;no;0;0;0;0;no;1
"000324";"POLO BRASILANDIA - MS";"gmoreno";12/04/21;"094226";"";"";?;?;no;no;0;0;0;0;no;1
"000325";"POLO RB/MS";"gmoreno";08/09/21;"091308";"";"";?;?;no;no;0;0;0;0;no;1
"000400";"CULTIVO DE SOJA";"ellen";21/09/18;"165706";"";"";?;?;no;no;0;0;0;0;no;1
"000401";"MANUTENÇÃO PREDIAL / OBRAS CIVIS";"amagro";13/05/22;"120619";"";"";?;?;no;no;0;0;0;0;no;1
"000402";"PLANEJAMENTO FINANCEIRO";"gmoreno";23/11/22;"164918";"";"";?;?;no;no;0;0;0;0;no;1
"000403";"TRANSPORTE";"gmoreno";26/12/22;"102553";"";"";?;?;no;no;0;0;0;0;no;1
