"13";"201";7;23/12/19;11/06/19;10/06/20;1;10;0;23/12/19;01/01/20;0;?;?;no;?;no;yes;22/11/19;yes;19/12/19;0;no;no;"gmoreno";12/12/19;"152054";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";7;21/12/20;11/06/19;10/06/20;1;20;0;21/12/20;09/01/21;0;?;?;no;?;no;yes;20/11/20;yes;17/12/20;0;no;no;"glisboa";29/11/20;"191159";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";7;22/12/21;11/06/20;10/06/21;1;15;0;22/12/21;05/01/22;0;?;?;no;?;no;yes;22/11/21;yes;20/12/21;0;no;no;"amagro";14/12/21;"100909";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";8;23/12/19;11/06/19;10/06/20;1;14;0;23/12/19;05/01/20;0;?;?;no;?;no;yes;22/11/19;yes;19/12/19;0;no;no;"gmoreno";12/12/19;"152055";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";8;17/12/20;11/06/19;10/06/20;1;16;0;17/12/20;01/01/21;0;?;?;no;?;no;yes;17/11/20;yes;11/12/20;0;no;no;"glisboa";03/12/20;"124445";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";8;22/12/21;11/06/20;10/06/21;1;14;0;22/12/21;04/01/22;0;?;?;no;?;no;yes;22/11/21;yes;20/12/21;0;no;no;"amagro";14/12/21;"100910";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";8;15/02/22;11/06/20;10/06/21;1;16;0;15/02/22;02/03/22;0;?;?;no;?;no;yes;14/01/22;yes;11/02/22;0;no;no;"amagro";11/02/22;"095604";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";8;21/12/22;11/06/21;10/06/22;1;14;0;21/12/22;03/01/23;0;?;?;no;?;no;yes;21/11/22;yes;19/12/22;0;no;no;"jdias";09/12/22;"092818";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";8;18/05/23;11/06/21;10/06/22;1;16;0;18/05/23;02/06/23;0;?;?;no;?;no;yes;18/04/23;yes;16/05/23;0;no;no;"toliveira";17/05/23;"103851";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";9;23/12/19;18/06/19;17/06/20;1;10;0;23/12/19;01/01/20;0;?;?;no;?;no;yes;22/11/19;yes;19/12/19;0;no;no;"gmoreno";12/12/19;"152055";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";9;21/12/20;18/06/19;17/06/20;1;20;0;21/12/20;09/01/21;0;?;?;no;?;no;yes;20/11/20;yes;17/12/20;0;no;no;"glisboa";01/12/20;"174557";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";9;05/01/22;18/06/20;17/06/21;1;14;0;05/01/22;18/01/22;0;?;?;no;?;no;yes;06/12/21;yes;03/01/22;0;no;no;"amagro";03/01/22;"163906";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";9;23/02/22;18/06/20;17/06/21;1;16;0;23/02/22;10/03/22;0;?;?;no;?;no;yes;24/01/22;yes;21/02/22;0;no;no;"amagro";21/02/22;"082708";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";9;07/02/23;18/06/21;17/06/22;1;16;0;07/02/23;22/02/23;0;?;?;no;?;no;yes;06/01/23;yes;02/02/23;0;no;no;"amagro";03/02/23;"164223";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";9;08/05/23;18/06/21;17/06/22;1;14;0;08/05/23;21/05/23;0;?;?;no;?;no;yes;07/04/23;no;04/05/23;0;no;no;"toliveira";03/05/23;"143900";"";"";?;?;yes;no;0;0;0;0;no;1;""
"13";"201";10;23/12/19;18/06/19;17/06/20;1;14;0;23/12/19;05/01/20;0;?;?;no;?;no;yes;22/11/19;yes;19/12/19;0;no;no;"gmoreno";12/12/19;"152055";"";"";?;?;yes;no;0;0;0;0;no;1;""
