18;"07:00/17:00 (5X1 GERAL)";220;0;110;44;7,33333;9;6;79200;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
19;"19:00/03:20 (5X1 GERAL)";220;0;110;44;7,33333;7,33333;6;33600;1;1;1;4;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"val";01/06/09;"091304";"           ";"";?;?;yes;no;75600;18000;0;0;no;0;0;0
20;"17:00/01:20 (GERAL 6X1 - SAB)";220;0;110;44;7,33333;7,33333;7;26400;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
21;"08:00/17:48";220;0;110;44;7,33333;8,8;7;0;1;1;1;3;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
22;"02:00/10:20";220;0;110;44;7,33333;7,33333;6;58800;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
23;"16:00/19:00";220;0;110;44;7,33333;3;6;3600;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
24;"07:20/15:40";220;0;110;44;7,33333;7,33333;7;0;1;1;1;3;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"gsilva";27/04/19;"143208";"           ";"";?;?;yes;no;0;0;0;0;no;0;0;0
25;"07:30/15:50 (RURICOLA)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;3;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"gsilva";27/04/19;"143045";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
26;"07:00/15:20 (RURICOLA)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;3;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"super";07/04/18;"101915";"           ";"";?;?;yes;no;75600;18000;0;0;no;0;0;0
27;"08:00/17:48";220;0;110;44;7,33333;8,8;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"gmoreno";08/11/22;"170852";"           ";"                                                                                   S";?;?;yes;no;0;0;0;0;no;0;0;0
28;"06:15/14:48 (CAETE)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
29;"07:00/15:20 (RURICOLA)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
30;"07:00/15:20 (RURICOLA)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
31;"05:00/15:00 (5X1 GERAL)";220;0;110;44;7,33333;9;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
32;"06:00/14:20 (6X1 GERAL)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;3;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"gmoreno";08/11/22;"170858";"           ";"                                                                                   S";?;?;yes;no;79200;18000;0;0;no;0;0;0
33;"06:00/16:20";220;0;110;44;9,33333;7;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
34;"05:00/13:20 (5X1 GERAL)";220;0;110;44;7,33333;7,33333;6;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"";"";"";"";"";yes;0;0;1;1;0;"ellen";02/06/09;"165042";"           ";"";?;?;yes;no;75600;18000;0;0;no;0;0;0
35;"17:00/03:00 (GERAL NOTUNO)";220;0;110;44;7,33333;9;7;33600;1;1;1;4;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
36;"07:00/16:00 (PEDREIROS)";220;0;110;44;7,33333;9;7;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"val";01/04/09;"164140";"           ";"";?;?;yes;no;0;0;0;0;no;0;0;0
37;"07:00/17:00 (GERAL/PEDREIROS)";220;0;110;44;7,33333;9;7;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"ellen";12/02/19;"153134";"           ";"";?;?;yes;no;0;0;0;0;no;0;0;0
38;"05:00/15:48 (MOTORISTA ONIBUS)";220;0;110;44;7,33333;8,8;7;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
39;"07:00/17:00 (MOTORISTA ONIBUS)";220;0;110;44;7,33333;9;7;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"val";03/04/09;"165858";"           ";"";?;?;yes;no;0;0;0;0;no;0;0;0
40;"05:00/16:00 (MOTORISTA ONIBUS)";220;0;110;44;7,33333;9;7;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
41;"06:00/16:48 (MOTORISTA ONIBUS)";220;0;110;44;7,33333;8,8;7;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
42;"08:00/16:20 (GERAL/OFICINA)";220;0;110;44;7,33333;8,8;7;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
43;"07:00/17:00 (GERAL/OFICINA)";220;0;110;44;7,33333;8,8;7;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
44;"17:00/03:00 (GERAL SAB COMP)";220;0;110;44;7,33333;9;7;26400;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"gmoreno";06/01/23;"115521";"           ";"                                                                                   N";?;?;yes;no;75600;18000;0;0;no;0;0;0
45;"09:00/17:00(GERAL5X1 VIGIA)";220;0;110;44;7,33333;9;6;0;1;1;1;1;no;"";"NACIONAL";2;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
46;"05:20/15:20";220;0;110;44;7,33333;7,33333;6;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
47;"06:00/16:00 (MOTORISTA ONIBUS)";220;0;110;44;7,33333;9;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"msantos";29/01/19;"110039";"           S";"";29/01/19;?;yes;no;0;0;0;0;no;0;0;0
48;"19:00/03:20 (6X1 GERAL)";220;0;110;44;7,33333;7,33333;7;33600;1;1;1;4;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"val";01/06/09;"091536";"           ";"";?;?;yes;no;75600;18000;0;0;no;0;0;0
49;"05:10/17:58 (MOTORISTA ONIBUS)";220;0;110;44;7,33333;8,8;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
50;"15:00/23:00 (SEG A SETXTA)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
51;"15:20/23:20(SEG A SEXT)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"NO";"FE";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
52;"15:20/23:20(6X1 GERAL)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"NO";"FE";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
53;"07:00/15:00 (GERAL 6X1 - DOM)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"RE";"FE";"CO";"";yes;0;0;1;1;0;"ellen";23/06/09;"134641";"           ";"";?;?;yes;no;0;0;0;0;no;0;0;0
54;"07:00/15:00 (SEG A SEXTA)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"NO";"FE";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
55;"15:00/23:00 (6x1)";220;0;110;44;7,33333;7,33333;7;18000;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"ellen";26/06/09;"140737";"           ";"";?;?;yes;no;75600;18000;0;0;no;0;0;0
56;"07:00/16:48";220;0;110;44;7,33333;8,8;7;0;1;1;1;1;no;"";"NACIONAL";1;1;1;0;0;"CO";"NO";"RE";"FE";"";yes;0;0;1;1;0;"super";21/06/18;"174052";"           S";"";21/06/18;?;yes;no;0;0;0;0;no;0;0;0
57;"06:00/18:00 (ONIBUS SEG/SAB)";220;0;110;44;7,33333;8,8;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
58;"05:00/18:00 (ONIBUS SEG/SEX)";220;0;110;44;7,33333;8,8;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
59;"14:00/22:00 (6x1)";220;0;110;44;7,33333;7,33333;7;18000;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"RE";"FE";"NO";"CO";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
60;"05:30/15:30";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"RE";"FE";"CO";"";yes;0;0;1;1;0;"ellen";15/07/09;"163911";"           ";"";?;?;yes;no;75600;18000;0;0;no;0;0;0
61;"22:00/06:00";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
62;"05:00/17:00 (Seg a Sex ONIBUS)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"FE";"CO";"RE";"NO";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
63;"07:00/17:20 (folga Sabado)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
64;"22:00/06:00 (5X1)";220;0;110;44;7,33333;7,33333;6;43200;1;1;1;4;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"FE";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
65;"18:00/04:00 (5X1 ESCALA)";220;0;110;44;7,33333;9;6;36000;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"NO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
66;"08:00/17:48";220;0;110;44;7,33333;8,8;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"RE";"FE";"CO";"";yes;0;0;1;1;0;"ellen";06/08/09;"151309";"           ";"";?;?;yes;no;0;0;0;0;no;0;0;0
