29;"GERENTE DE CONTROLES";3;"141115";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"112852";"";"";?;?;no;no;0;0;0;0;1
30;"GERENTE DE CONTROLES";3;"142115";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"112856";"";"";?;?;no;no;0;0;0;0;1
31;"LAVADEIRA";3;"516305";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"112900";"";"";?;?;no;no;0;0;0;0;1
32;"LAVADOR";3;"519935";0;28/04/15;28/04/15;28/04/15;?;0;1;1;1;1;"";"";"lucimar";28/04/15;"104913";"";"";?;?;no;no;0;0;0;0;1
33;"MECÂNICO";3;"913115";0;18/07/16;18/07/16;18/07/16;?;0;1;1;1;1;"";"";"lucimar";18/07/16;"104720";"";"";?;?;no;no;0;0;0;0;1
34;"MÉDICO DO TRABALHO";3;"225140";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"super";04/02/18;"124145";"";"";?;?;no;no;0;0;0;0;1
35;"MOTORISTA COMBOIEIRO";3;"782510";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;1;"";"";"lucimar";10/12/15;"165044";"";"";?;?;no;no;0;0;0;0;1
36;"MOTORISTA DE TRANSP. COLETIVO";3;"782410";0;22/07/16;22/07/16;22/07/16;?;0;1;1;1;1;"";"";"lucimar";22/07/16;"173044";"";"";?;?;no;no;0;0;0;0;1
37;"MOTORISTA DE CAMINHÃO";3;"782510";0;03/07/15;03/07/15;03/07/15;?;0;1;1;1;1;"";"";"lucimar";03/07/15;"170753";"";"";?;?;no;no;0;0;0;0;1
38;"MOTORISTA DE CAMINHÃO";3;"782510";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;1;"";"";"lucimar";10/12/15;"165150";"";"";?;?;no;no;0;0;0;0;1
39;"OPERADOR DE CARREGADEIRA";3;"711210";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"112938";"";"";?;?;no;no;0;0;0;0;1
40;"SECRETARIA EXECUTIVA";3;"252305";0;02/02/15;02/02/15;02/02/15;?;0;1;1;1;1;"";"";"ellen";02/02/15;"165235";"";"";?;?;no;no;0;0;0;0;1
41;"SOLDADOR";3;"724315";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"112945";"";"";?;?;no;no;0;0;0;0;1
42;"GERENTE AGRICOLA";3;"141205";0;21/10/21;21/10/21;21/10/21;?;0;1;1;1;1;"";"";"gmoreno";21/10/21;"091818";"";"";?;?;no;no;0;0;0;0;1
43;"TECNICO AGRICOLA";3;"321105";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"112954";"";"";?;?;no;no;0;0;0;0;1
44;"TECNICO EM SEGURANÇA";3;"351605";0;15/07/16;15/07/16;15/07/16;?;0;1;1;1;1;"";"";"lucimar";15/07/16;"092529";"";"";?;?;no;no;0;0;0;0;1
45;"TOPOGRAFO";3;"312320";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113001";"";"";?;?;no;no;0;0;0;0;1
46;"TRATORISTA";3;"641015";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;1;"";"";"amagro";18/08/22;"111648";"";"";?;?;no;no;0;0;0;0;1
47;"VIGILANTE";3;"517330";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113009";"";"";?;?;no;no;0;0;0;0;1
48;"ENCARREGADO DE MÃO-DE-OBRA";3;"620105";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113013";"";"";?;?;no;no;0;0;0;0;1
49;"ENCARREGADO  DE TRATOS CULT";3;"620105";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;1;"";"";"gmoreno";09/10/19;"160754";"";"";?;?;no;no;0;0;0;0;1
50;"SERVENTE DE PEDREIRO";3;"717020";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;1;"";"";"lucimar";10/12/15;"165714";"";"";?;?;no;no;0;0;0;0;1
51;"AUXILIAR FINANCEIRO";3;"413110";0;19/08/22;19/08/22;19/08/22;?;0;1;1;1;1;"";"";"amagro";19/08/22;"080216";"";"";?;?;no;no;0;0;0;0;1
52;"GERENTE DE RECURSOS HUMANOS";3;"142205";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;1;"";"";"lucimar";10/12/15;"164137";"";"";?;?;no;no;0;0;0;0;1
53;"DIRETOR ADMINISTRATIVO";3;"123105";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113033";"";"";?;?;no;no;0;0;0;0;1
54;"DOMÉSTICA";3;"512110";0;14/07/11;14/07/11;14/07/11;?;0;1;1;1;1;"";"";"LUCIMAR";14/07/11;"095932";"";"";?;?;no;no;0;0;0;0;1
55;"ENCARREGADO DE CORTE";3;"620105";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113041";"";"";?;?;no;no;0;0;0;0;1
56;"ENCARREGADO DE CAMPO";3;"620105";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;1;"";"";"lucimar";10/12/15;"164018";"";"";?;?;no;no;0;0;0;0;1
57;"ENCARREGADO DE SAFRA";3;"620105";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113048";"";"";?;?;no;no;0;0;0;0;1
58;"TEC SEGURANÇA E SUPERVISOR R.H";3;"351605";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113057";"";"";?;?;no;no;0;0;0;0;1
59;"FISCAL DE SAFRA";3;"622110";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113102";"";"";?;?;no;no;0;0;0;0;1
60;"SERVICOS GERAIS";3;"622110";0;27/07/15;27/07/15;27/07/15;?;0;1;1;1;2;"";"";"lucimar";27/07/15;"160717";"";"";?;?;no;no;0;0;0;0;1
61;"SECRETARIA";3;"411005";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113110";"";"";?;?;no;no;0;0;0;0;1
62;"GERENTE DE CUSTOS E ORÇAMENTO";3;"142115";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113117";"";"";?;?;no;no;0;0;0;0;1
63;"RECEPCIONISTA";3;"422105";0;19/08/09;19/08/09;19/08/09;?;0;1;1;1;1;"";"";"ellen";19/08/09;"113122";"";"";?;?;no;no;0;0;0;0;1
64;"OPERADOR DE MOTO-BOMBA";3;"641010";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;2;"";"";"amagro";18/08/22;"112601";"";"";?;?;no;no;0;0;0;0;1
65;"MOTORISTA";3;"782305";0;25/06/08;25/06/08;25/06/08;?;0;1;1;1;1;"";"";"cleo";25/06/08;"172732";"";"";?;?;no;no;0;0;0;0;1
66;"AUXILIAR TECNICO";3;"321105";0;27/06/08;27/06/08;27/06/08;?;0;1;1;1;2;"";"";"ellen";27/06/08;"081600";"";"";?;?;no;no;0;0;0;0;1
67;"ASSISTENTE FINANCEIRO";3;"413110";0;19/08/22;19/08/22;19/08/22;?;0;1;1;1;1;"";"";"amagro";19/08/22;"142838";"";"";?;?;no;no;0;0;0;0;1
68;"TECNICO EM INFORMATICA";3;"313220";0;27/08/08;27/08/08;27/08/08;?;0;1;1;1;1;"";"";"CLEO";27/08/08;"092845";"";"";?;?;no;no;0;0;0;0;1
69;"GERENTE FINANCEIRO";3;"142115";0;02/09/08;02/09/08;02/09/08;?;0;1;1;1;1;"";"";"cleo";02/09/08;"133119";"";"";?;?;no;no;0;0;0;0;1
70;"SUPERVISORA FINANCEIRA";3;"410235";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;1;"";"";"amagro";18/08/22;"112952";"";"";?;?;no;no;0;0;0;0;1
71;"AJ. GERAL/ABASTECIMENTO";3;"622110";0;28/09/10;28/09/10;28/09/10;?;0;1;1;1;2;"";"";"ELLEN";28/09/10;"151638";"";"";?;?;no;no;0;0;0;0;1
72;"AJ. GERAL/IRRIGACAO";3;"643015";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;2;"";"";"amagro";18/08/22;"114014";"";"";?;?;no;no;0;0;0;0;1
73;"GERENTE OFICINA";3;"141420";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;2;"";"";"amagro";18/08/22;"114124";"";"";?;?;no;no;0;0;0;0;1
