33;"07:00/15:20";"NO";1;25200;55200;0;0;0;3600;no;0;600;0;"fabiano";02/03/16;"182155";"000000000000000             N00000";"";?;?;no;no;0;0;0;0;0;0
34;"05:00/15:00";"NO";1;18000;54000;0;0;0;6000;no;0;1800;1800;"ellen";06/08/10;"080230";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
35;"06:00/14:20";"NO";1;21600;51600;0;0;0;3600;no;0;0;0;"ellen";06/08/10;"080235";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
36;"06:00/16:20";"NO";1;21600;58800;0;0;0;3600;no;0;0;0;"ellen";06/08/10;"080239";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
37;"20:00/04:20";"NO";1;72000;15600;0;0;0;3600;yes;0;0;0;"ellen";06/08/10;"080243";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
38;"05:00/13:20";"NO";1;18000;48000;0;0;0;3600;no;0;0;0;"ellen";06/08/10;"080246";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
39;"17:00/03:00";"NO";1;61200;10800;0;0;0;6000;yes;0;1800;1800;"ellen";06/08/10;"080250";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
40;"17:00/02:00";"NO";1;61200;7200;0;0;0;3600;yes;0;0;0;"ellen";06/08/10;"080253";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
41;"07:00/11:00";"NO";1;25200;39600;0;0;0;0;no;0;0;0;"ellen";06/08/10;"080257";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
42;"07:00/17:00 (GERAL/PEDREIROS)";"NO";1;25200;61200;0;0;0;3600;no;0;0;0;"DANI";02/04/14;"134444";"000000000000000";"";?;?;no;no;0;0;0;0;600;600
43;"07:00/16:00 (GERAL/PEDREIROS)";"NO";1;25200;57600;0;0;0;3600;no;0;0;0;"DANI";02/04/14;"134725";"000000000000000";"";?;?;no;no;0;0;0;0;600;600
44;"05:00/15:48 (MOTORISTA ONIBUS";"NO";1;18000;56880;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080312";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
45;"07:00/16:00 (MOTORISTA ONIBUS)";"NO";1;25200;57600;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080315";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
46;"07:00/17:00 (MOTORISTAS ONIBUS";"NO";1;25200;61200;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080318";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
47;"05:00/16:00 (MOTORISTAS ONIBU";"NO";1;18000;57600;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080323";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
48;"05:00/15:00 (MOTORISTAS ONIBU";"NO";1;18000;54000;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080327";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
