91;"";"";"06";1;?;?;0;0;0;0;"";"";no;no;"super";04/02/18;"152502"
93;"18";"";"";2;?;?;0;0;0;0;"";"";no;no;"super";04/02/18;"152523"
94;"00";"";"";1;?;?;0;0;0;0;"";"";no;no;"super";04/02/18;"152537"
95;"00";"";"";1;?;?;0;0;0;0;"";"";no;no;"super";04/02/18;"152548"
96;"00";"";"";1;?;?;0;0;0;0;"";"";no;no;"super";04/02/18;"152554"
97;"00";"";"";1;?;?;0;0;0;0;"";"";no;no;"super";21/06/18;"173327"
98;"03";"";"";1;?;?;0;0;0;0;"";"";no;no;"super";21/06/18;"173327"
99;"00";"";"";1;?;?;0;0;0;0;"";"";no;no;"super";04/02/18;"152622"
100;"00";"";"";1;?;?;0;0;0;0;"";"";no;no;"msantos";29/01/19;"171907"
105;"01";"";"";1;?;?;0;0;0;0;"";"";no;no;"super";22/02/19;"105738"
106;"";"";"27";1;?;?;0;0;0;0;"";"";no;no;"msantos";16/04/19;"092135"
107;"00";"";"";1;?;?;0;0;0;0;"";"";no;no;"gmoreno";31/03/20;"152312"
108;"03";"";"";1;?;?;0;0;0;0;"";"";no;no;"gmoreno";15/04/20;"090611"
109;"03";"";"";1;?;?;0;0;0;0;"";"";no;no;"gmoreno";06/05/20;"165737"
110;"";"";"17";1;?;?;0;0;0;0;"";"";no;no;"gmoreno";25/08/22;"101319"
111;"00";"";"";1;?;?;0;0;0;0;"";"";no;no;"amagro";26/08/22;"084040"
