1;912;"1";"PR";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL/COLORADO";87;0;"LUCIMAR";19/04/13;"100225";"";"";?;?;no;no;0;0;0;0
1;938;"5";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"B BRASIL JUNQUEIROPOLOS";331;0;"camila";31/05/18;"115231";"";"";?;?;no;no;0;0;0;0
1;971;"7";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL EPITACIO";137;0;"LUCIMAR";06/02/14;"074211";"";"";?;?;no;no;0;0;0;0
1;992;"X";"PR";"";"";"";"";"";"";"";"BRA";"00000000000000";"BRASIL S/A(TERRA RICA)";35;0;"cleo";08/10/08;"162010";"";"";?;?;no;no;0;0;0;0
1;1018;"9";"AL";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL ANADIA (AL)";156;0;"lucimar";24/08/15;"115946";"";"";?;?;no;no;0;0;0;0
1;1046;"4";"MG";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL";91;0;"ELLEN";03/06/13;"120921";"";"";?;?;no;no;0;0;0;0
1;1144;"";"MS";"";"";"";"";"";"";"";"BRA";"00000000000000";"JARDIM CAIXA";344;0;"cristina";27/08/18;"093636";"";"";?;?;no;no;0;0;0;0
1;1155;"X";"CE";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL - Tauá/CE";253;0;"fabiano";12/02/18;"175037";"";"";?;?;no;no;0;0;0;0
1;1187;"8";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL AG MARINGÁ VELHO";83;0;"LUCIMAR";13/03/13;"103247";"";"";?;?;no;no;0;0;0;0
1;1308;"";"GO";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL - Edeia/GO";244;0;"fabiano";17/01/18;"110449";"";"";?;?;no;no;0;0;0;0
1;1313;"";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"SANTANDER BANESPA (AG 309)";30;0;"rangeloti";31/07/23;"091110";"";"";?;?;no;no;0;0;0;0
1;1323;"4";"MS";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL ANGELICA MS";194;0;"lucimar";06/07/16;"093401";"";"";?;?;no;no;0;0;0;0
1;1648;"9";"AL";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL BOCA DA MATA /AL";164;0;"lucimar";26/10/15;"102400";"";"";?;?;no;no;0;0;0;0
1;1685;"3";"MG";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL";91;0;"ellen";07/03/19;"170101";"";"";?;?;no;no;0;0;0;0
1;1707;"8";"SC";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL CAMBORIU";64;0;"LUCIMAR";16/04/12;"081552";"";"";?;?;no;no;0;0;0;0
1;2004;"4";"MA";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL - COROATA MA";282;0;"super";02/03/18;"093820";"";"";?;?;no;no;0;0;0;0
1;2024;"9";"MS";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL DEODAPOLIS";168;0;"lucimar";27/01/16;"112351";"";"";?;?;no;no;0;0;0;0
1;2045;"";"MS";"";"";"";"";"";"";"";"BRA";"00000000000000";"CAIXA ECONOMICA FEDERAL";195;0;"ellen";11/07/16;"142522";"";"";?;?;no;no;0;0;0;0
1;2078;"8";"sp";"";"";"";"";"";"";"";"BRA";"00000000000000";"AG. BB GENERAL SALGADO";86;0;"LUCIMAR";17/04/13;"102543";"";"";?;?;no;no;0;0;0;0
1;2188;"1";"MS";"";"";"";"";"";"";"";"BRA";"00000000000000";"BB IVIEMA MS";315;0;"super";09/04/18;"114158";"";"";?;?;no;no;0;0;0;0
1;2238;"1";"PE";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL LAGOA DOS GATOS";165;0;"lucimar";13/11/15;"145023";"";"";?;?;no;no;0;0;0;0
1;2306;"X";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BB MIRANTE DO PARANAPANEMA";81;0;"LUCIMAR";18/02/13;"133844";"";"";?;?;no;no;0;0;0;0
1;2349;"3";"PR";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL NOVA CANTU";139;0;"LUCIMAR";15/08/14;"151038";"";"";?;?;no;no;0;0;0;0
1;2425;"2";"PB";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL PEDRAS DE FOGO, PB";145;0;"lucimar";13/11/14;"140556";"";"";?;?;no;no;0;0;0;0
1;2455;"4";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL (AG 2455-4/MIRANTE)";19;0;"datasul";04/07/08;"142307";"";"";?;?;no;no;0;0;0;0
1;2519;"4";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL/REGENTE FEIJO";89;0;"LUCIMAR";24/05/13;"121930";"";"";?;?;no;no;0;0;0;0
1;2718;"9";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL (AG 2718-9/TS)";7;0;"datasul";04/07/08;"142535";"";"";?;?;no;no;0;0;0;0
1;2848;"7";"MS";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL BATAYPORA";140;0;"lucimar";18/09/14;"084954";"";"";?;?;no;no;0;0;0;0
1;3047;"3";"AL";"";"";"";"";"";"";"";"BRA";"00000000000000";"BRADESCO MACEIÓ";179;0;"fabiano";30/04/16;"150545";"";"";?;?;no;no;0;0;0;0
1;3078;"3";"SC";"";"";"";"";"";"";"";"bra";"00000000000000";"BANCO DO BRASIL LAGES";60;0;"LUCIMAR";24/05/11;"085706";"";"";?;?;no;no;0;0;0;0
1;3123;"2";"TO";"";"";"";"";"";"";"";"BRA";"00000000000000";"BB FORMOSO DO ARAGUAIA";375;0;"msantos";05/06/19;"180012";"";"";?;?;no;no;0;0;0;0
1;3290;"5";"MT";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL - PRIMAVERA DO LESTE";224;0;"fabiano";01/05/17;"135058";"";"";?;?;no;no;0;0;0;0
1;3291;"3";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL (AG 3291-3/PRIMAVERA)";28;0;"datasul";04/07/08;"142020";"";"";?;?;no;no;0;0;0;0
1;3351;"0";"MG";"";"";"";"";"";"";"";"BRA";"00000000000000";"BB UBERABA";376;0;"gsilva";11/06/19;"094827";"";"";?;?;no;no;0;0;0;0
1;3416;"9";"GO";"";"";"";"";"";"";"";"BRA";"00000000000000";"BB VICENTINOPOLIS - GO";316;0;"super";10/04/18;"100906";"";"";?;?;no;no;0;0;0;0
1;3501;"";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"CAIXA monte aprazivel";255;0;"camila";14/02/18;"093216";"";"";?;?;no;no;0;0;0;0
1;3573;"4";"PR";"";"";"";"";"";"";"";"BRA";"60701190110031";"ITAÚ UNIBANCO S.A.";499;0;"mmoraes";23/11/20;"103117";"";"";?;?;no;no;0;0;0;0
1;3644;"7";"MT";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL NOVA OLIMPIA";158;0;"lucimar";24/08/15;"143653";"";"";?;?;no;no;0;0;0;0
1;3743;"5";"GO";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL MAURILANDIA-GO";187;0;"fabiano";15/06/16;"162008";"";"";?;?;no;no;0;0;0;0
1;3950;"0";"MS";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL NOVA ALVORADA DO SUL";154;0;"lucimar";24/08/15;"094817";"";"";?;?;no;no;0;0;0;0
1;4028;"2";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL RIBEIRAO";378;0;"gsilva";11/06/19;"160912";"";"";?;?;no;no;0;0;0;0
1;4079;"";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"GUARULHOS";337;0;"cristina";03/07/18;"181634";"";"";?;?;no;no;0;0;0;0
1;4183;"";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"CAIXA Tanabi";267;0;"camila";14/02/18;"174041";"";"";?;?;no;no;0;0;0;0
1;4245;"5";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL / CATANDUVA";68;0;"LUCIMAR";24/04/12;"113359";"";"";?;?;no;no;0;0;0;0
1;4351;"6";"MS";"";"";"";"";"";"";"";"BRA";"00000000535036";"BANCO DO BRASIL (TRES LAGOAS - MS)";149;0;"fabiano";13/05/15;"144510";"";"";?;?;no;no;0;0;0;0
1;4474;"1";"SP";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL (AG 4474-1/EUCLIDES)";18;0;"datasul";04/07/08;"142255";"";"";?;?;no;no;0;0;0;0
1;4515;"2";"MT";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL ALTO TAQUARI MT";180;0;"fabiano";06/06/16;"164308";"";"";?;?;no;no;0;0;0;0
1;4551;"9";"CE";"";"";"";"";"";"";"";"BRA";"00000000000000";"BANCO DO BRASIL - Pedra Branca/CE";250;0;"fabiano";12/02/18;"153155";"";"";?;?;no;no;0;0;0;0
